survey,time,flux,flux_err,eclipse
ASAS,2641.63611,1.0597416418830994,0.0388896015369944,False
ASAS,2643.6454,1.080438372371232,0.0356842031241874,False
ASAS,2645.61326,1.0904355455436625,0.0320127866581625,False
ASAS,2655.56635,1.0834278621501403,0.0308130859877562,False
ASAS,2662.58556,1.0607181496353169,0.0321134852641884,False
ASAS,2664.58152,1.0914403364487573,0.0330436065163385,False
ASAS,2666.57883,1.0009214583192978,0.0284665735852277,False
ASAS,2668.58447,0.9656060985415514,0.025690437484133,False
ASAS,2672.58264,1.0046157902783968,0.0294933076045033,False
ASAS,2686.52247,1.095468767333997,0.0321605509676035,False
ASAS,2693.52092,1.103570289964016,0.0293610444118866,False
ASAS,2696.5113,1.1066237839776676,0.0335032888727183,False
ASAS,2861.92142,1.0157808007969027,0.0335487236960444,False
ASAS,2877.91613,0.9170647491149332,0.031129720841516,False
ASAS,2884.90276,0.9392906516184,0.030160708996921,False
ASAS,2893.86744,0.9306791831626552,0.0290303598417708,False
ASAS,2911.82638,0.9306791831626552,0.0273226916157843,False
ASAS,2915.83528,0.999079389984464,0.0311639442747447,False
ASAS,2928.81645,0.9315367652385756,0.0333302145360591,False
ASAS,2935.7772,0.9745407417663092,0.0286103704004788,False
ASAS,2943.73822,1.0480934333628742,0.0346159299092325,False
ASAS,2945.73134,0.901986422073746,0.031445398200736,False
ASAS,2947.75741,0.991744955231416,0.0327548792553495,False
ASAS,2949.73767,0.991744955231416,0.0318450214982564,False
ASAS,2951.74174,0.9880979539411284,0.0308214040678884,False
ASAS,2955.76708,0.9384259312370188,0.0292720015248244,False
ASAS,2957.75383,0.9835580562269594,0.0270704052172557,False
ASAS,2962.69907,1.0251797048255586,0.0310375506965536,False
ASAS,2964.70696,0.9003264310597238,0.0256056140943591,False
ASAS,2966.71016,0.9754387404403004,0.0286367336643023,False
ASAS,2968.73608,1.028963572296755,0.0302081048747671,False
ASAS,2971.66678,1.0036909309200988,0.0285453384023147,False
ASAS,2974.6577,0.9673864499689528,0.0284003361458775,False
ASAS,2983.66665,0.996322641954418,0.0310779539692203,False
ASAS,2985.67604,1.016716800466378,0.0317141020328961,False
ASAS,3000.59632,0.936698877952117,0.0283587733691925,False
ASAS,3010.59227,0.9281111710201704,0.0289502567107209,False
ASAS,3015.60515,0.9506047936562828,0.0383730375420884,False
ASAS,3019.61347,0.9358365435835312,0.0369183223615521,False
ASAS,3025.58948,0.9899197750805852,0.0272454983967133,False
ASAS,3030.55657,1.056817509213661,0.0407214086119025,False
ASAS,3276.79708,0.8912509381337459,0.0335241178564069,False
ASAS,4007.0964,0.9594006315159316,0.048410123608602,False
ASAS,4012.9539,1.1015393095414123,0.0474975665582076,False
KELT,4034.731201,0.893227492044055,0.0064027351421561,False
KELT,4035.731201,1.016342298696804,0.0076171283250446,False
KELT,4036.731201,1.0909076820057393,0.0083593200847933,False
KELT,4037.731201,0.9412045110145898,0.0062446731499329,False
KELT,4038.731201,1.0458180886900927,0.0070635638498291,False
KELT,4039.731201,1.067908394119672,0.0089665997795013,False
KELT,4040.731201,0.9214165318471584,0.0078738537403368,False
KELT,4041.731201,1.0286225850607544,0.009269401370333,False
KELT,4050.731201,0.9701346133104826,0.0072990382569909,False
KELT,4051.731201,1.052213902491379,0.0078400402024979,False
KELT,4052.731201,1.0210995013879691,0.007567567496734,False
KELT,4053.731201,1.001806857115583,0.0067541621263747,False
ASAS,4054.03478,1.0232929922807514,0.0431848418760684,False
KELT,4054.731201,1.098509962662437,0.0075218310411915,False
KELT,4055.731201,1.016428682165334,0.0069398826629131,False
KELT,4056.731201,1.0049166067418347,0.0066921557389523,False
ASAS,4057.11173,1.0167168004663738,0.0335796374465958,False
KELT,4057.731201,1.059770924031327,0.0075017256261863,False
KELT,4058.731201,1.060444636799365,0.0072198394212938,False
KELT,4059.731201,0.9616477094456872,0.0064409549534125,False
KELT,4060.731201,1.0687546442614844,0.0073450184091378,False
KELT,4061.731201,1.0782513369822384,0.0071762884045109,False
ASAS,4063.07126,1.0185913880541169,0.0467243755988127,False
KELT,4066.731201,1.047967948011062,0.0074618917836387,False
ASAS,4077.91155,0.9401561688035684,0.0439889583568642,False
KELT,4078.731201,0.9888262933004012,0.0081139085592626,False
ASAS,4079.08233,1.061695557198724,0.0360392069874796,False
KELT,4079.731201,1.0544451655744769,0.0080882075829413,False
KELT,4080.731201,0.9630747574757544,0.0067887625639912,False
KELT,4081.731201,0.973607700104917,0.0070126550022474,False
KELT,4083.731201,1.0359719581076177,0.0078452493641952,False
ASAS,4084.84007,1.059741641883095,0.0369451214601445,False
KELT,4093.731201,0.9631506122160368,0.0072760436482637,False
KELT,4094.731201,1.104734712335468,0.0083153951711144,False
KELT,4095.731201,1.0941075123699358,0.0082038462867896,False
ASAS,4102.84141,1.0509934271862154,0.0289264246014554,False
KELT,4107.7312010000005,1.054125434741767,0.0073901565166446,False
KELT,4108.7312010000005,0.9327988457132976,0.0065162747980441,False
KELT,4117.7312010000005,1.068611884862769,0.0078426882949149,False
ASAS,4139.81914,0.9019864220737422,0.0372379715535031,False
ASAS,4145.81917,0.9462371613657928,0.0347242994996621,False
ASAS,4151.83751,0.9682778562612464,0.0417514304993381,False
ASAS,4157.71539,0.9944890371547906,0.0474435136991276,False
ASAS,4164.80215,0.9880979539411244,0.049858153639231,False
ASAS,4176.73567,0.8904304435937404,0.0392116158646784,False
ASAS,4189.74832,0.9691700839472904,0.0382333152382875,False
ASAS,4353.04484,1.0636530750764353,0.0497672539714662,False
KELT,4362.7312010000005,0.960961629557231,0.0063315657712824,False
KELT,4363.7312010000005,1.0146029100600402,0.0067641784376971,False
KELT,4378.7312010000005,1.0343058748341976,0.0077302653947223,False
KELT,4379.7312010000005,1.030974681298638,0.0069330402855006,False
KELT,4380.7312010000005,0.9380435501396164,0.0066518294494295,False
KELT,4381.7312010000005,1.0773901942813144,0.0075431276359497,False
KELT,4382.7312010000005,1.0641969339728288,0.0070155314661808,False
